datetime,open,high,low,close,volume,hold
2026-04-15 10:00:00,9320.0,9357.0,9306.0,9353.0,580,374332
2026-04-15 11:15:00,9354.0,9405.0,9347.0,9400.0,7686,375171
2026-04-15 14:15:00,9378.0,9429.0,9368.0,9416.0,3512,379037
2026-04-15 15:00:00,9416.0,9422.0,9400.0,9411.0,3673,378447
2026-04-15 22:00:00,9420.0,9422.0,9337.0,9344.0,105210,386476
2026-04-15 23:00:00,9343.0,9363.0,9325.0,9363.0,38485,383954
2026-04-16 10:00:00,9365.0,9403.0,9340.0,9395.0,9611,386834
2026-04-16 11:15:00,9395.0,9424.0,9366.0,9381.0,76124,391034
2026-04-16 14:15:00,9380.0,9400.0,9353.0,9397.0,36616,392585
2026-04-16 15:00:00,9398.0,9415.0,9388.0,9402.0,220,392661
2026-04-16 22:00:00,9435.0,9446.0,9388.0,9432.0,113278,398406
2026-04-16 23:00:00,9432.0,9500.0,9417.0,9489.0,67363,398260
2026-04-17 10:00:00,9478.0,9489.0,9433.0,9457.0,7672,400731
2026-04-17 11:15:00,9457.0,9485.0,9427.0,9472.0,67761,402261
2026-04-17 14:15:00,9472.0,9493.0,9411.0,9453.0,1496,403292
2026-04-17 15:00:00,9453.0,9508.0,9445.0,9492.0,295,404382
2026-04-17 22:00:00,9306.0,9413.0,9259.0,9392.0,226726,418804
2026-04-17 23:00:00,9391.0,9403.0,9366.0,9398.0,35,413777
2026-04-20 10:00:00,9468.0,9487.0,9426.0,9464.0,134863,418986
2026-04-20 11:15:00,9464.0,9515.0,9442.0,9480.0,48017,422043
2026-04-20 14:15:00,9480.0,9506.0,9469.0,9479.0,15,422997
2026-04-20 15:00:00,9479.0,9496.0,9466.0,9486.0,2117,419147
2026-04-20 22:00:00,9481.0,9484.0,9434.0,9469.0,96282,425894
2026-04-20 23:00:00,9470.0,9500.0,9459.0,9488.0,40215,424918
2026-04-21 10:00:00,9497.0,9607.0,9488.0,9598.0,252,448162
2026-04-21 11:15:00,9599.0,9608.0,9568.0,9578.0,74005,448365
2026-04-21 14:15:00,9578.0,9793.0,9556.0,9752.0,7661,478793
2026-04-21 15:00:00,9752.0,9758.0,9710.0,9730.0,6465,464353
2026-04-21 22:00:00,9719.0,9758.0,9696.0,9730.0,176251,468940
2026-04-21 23:00:00,9730.0,9792.0,9725.0,9775.0,65742,475514
2026-04-22 10:00:00,9794.0,9857.0,9762.0,9835.0,19450,488866
2026-04-22 11:15:00,9835.0,9853.0,9793.0,9840.0,97802,487355
2026-04-22 14:15:00,9840.0,9855.0,9763.0,9783.0,346,479246
2026-04-22 15:00:00,9783.0,9845.0,9780.0,9822.0,374,481402
2026-04-22 22:00:00,9864.0,9884.0,9838.0,9851.0,149708,489899
2026-04-22 23:00:00,9850.0,9863.0,9831.0,9833.0,47955,488871
2026-04-23 10:00:00,9815.0,9838.0,9730.0,9753.0,11432,482934
2026-04-23 11:15:00,9759.0,9847.0,9751.0,9828.0,23662,487821
2026-04-23 14:15:00,9829.0,9835.0,9781.0,9782.0,1565,480295
2026-04-23 15:00:00,9781.0,9812.0,9766.0,9781.0,10297,470400
2026-04-23 22:00:00,9744.0,9855.0,9743.0,9833.0,168807,492872
