datetime,open,high,low,close,volume,hold
2026-01-29 11:15:00,9292.0,9368.0,9278.0,9322.0,60294,515694
2026-01-29 15:00:00,9322.0,9396.0,9310.0,9362.0,42003,514423
2026-01-30 11:15:00,9372.0,9384.0,9180.0,9220.0,25840,494789
2026-01-30 15:00:00,9222.0,9276.0,9210.0,9240.0,100133,492543
2026-02-02 11:15:00,9234.0,9316.0,9002.0,9010.0,5932,476903
2026-02-02 15:00:00,9014.0,9032.0,8964.0,9014.0,1946,463795
2026-02-03 11:15:00,9056.0,9156.0,9050.0,9114.0,71075,466316
2026-02-03 15:00:00,9114.0,9120.0,9082.0,9094.0,344,463803
2026-02-04 11:15:00,9206.0,9246.0,9106.0,9128.0,7339,471089
2026-02-04 15:00:00,9128.0,9146.0,9100.0,9138.0,555,468924
2026-02-05 11:15:00,9128.0,9196.0,9072.0,9078.0,371,463466
2026-02-05 15:00:00,9086.0,9096.0,9040.0,9042.0,25,455414
2026-02-06 11:15:00,9024.0,9080.0,9002.0,9044.0,126511,447846
2026-02-06 15:00:00,9044.0,9076.0,9018.0,9026.0,4294,444138
2026-02-09 11:15:00,8984.0,9044.0,8938.0,9020.0,41979,438369
2026-02-09 15:00:00,9020.0,9060.0,9010.0,9014.0,143,436250
2026-02-10 11:15:00,9016.0,9016.0,8914.0,8952.0,56220,426364
2026-02-10 15:00:00,8950.0,9004.0,8930.0,8940.0,60341,424748
2026-02-11 11:15:00,8912.0,8940.0,8888.0,8914.0,41971,420733
2026-02-11 15:00:00,8914.0,8948.0,8896.0,8906.0,41363,417262
2026-02-12 11:15:00,8918.0,8920.0,8820.0,8828.0,46163,410442
2026-02-12 15:00:00,8828.0,8844.0,8782.0,8782.0,60306,401005
2026-02-13 11:15:00,8790.0,8828.0,8724.0,8736.0,35113,387140
2026-02-13 15:00:00,8734.0,8738.0,8674.0,8698.0,537,371311
2026-02-24 11:15:00,8840.0,8910.0,8832.0,8854.0,1636,375323
2026-02-24 15:00:00,8854.0,8870.0,8822.0,8824.0,164,371007
2026-02-25 11:15:00,8808.0,8876.0,8768.0,8850.0,52769,380868
2026-02-25 15:00:00,8850.0,8930.0,8844.0,8848.0,74416,386437
2026-02-26 11:15:00,8818.0,8838.0,8734.0,8738.0,79282,386837
2026-02-26 15:00:00,8738.0,8760.0,8690.0,8714.0,117,397107
2026-02-27 11:15:00,8714.0,8800.0,8696.0,8740.0,62268,394334
2026-02-27 15:00:00,8740.0,8786.0,8720.0,8780.0,21533,393810
2026-03-02 11:15:00,8818.0,8910.0,8768.0,8858.0,10178,396069
2026-03-02 15:00:00,8860.0,8922.0,8856.0,8898.0,111,387940
2026-03-03 11:15:00,8944.0,9026.0,8926.0,8976.0,1763,379302
2026-03-03 15:00:00,8968.0,9014.0,8960.0,8994.0,224,373736
2026-03-04 11:15:00,9048.0,9082.0,8938.0,8986.0,1210,365670
2026-03-04 15:00:00,8986.0,9010.0,8974.0,9002.0,181,361715
2026-03-05 11:15:00,8966.0,8994.0,8890.0,8962.0,3230,360784
2026-03-05 15:00:00,8964.0,9126.0,8962.0,9070.0,42,364839
2026-03-06 11:15:00,9072.0,9188.0,9046.0,9178.0,345,368532
